slug,nomor,tahun,tentang,source_url,pdf_url,local_pdf_path
perppu-no-1-tahun-1946,1,1946,PERATURAN TENTANG SUSUNAN DEWAN PERTAHANAN DAERAH DALAM DAERAH ISTIMEWA,https://peraturan.go.id/id/perppu-no-1-tahun-1946,NO_PDF,
perppu-no-2-tahun-1946,2,1946,PERATURAN TENTANG PEMBENTUKAN BANK NEGARA,https://peraturan.go.id/id/perppu-no-2-tahun-1946,NO_PDF,
perppu-no-3-tahun-1946,3,1946,PERATURAN TENTANG KEWAJIBAN MENYIMPAN UANG DALAM BANK,https://peraturan.go.id/id/perppu-no-3-tahun-1946,NO_PDF,
perppu-no-4-tahun-1946,4,1946,PERATURAN TENTANG MENGADAKAN PERUBAHAN DALAM UNDANG-UNDANG TAHUN 1946 NO.6,https://peraturan.go.id/id/perppu-no-4-tahun-1946,NO_PDF,
perppu-no-10-tahun-1949,10,1949,--------------------------------------------------------,https://peraturan.go.id/id/perppu-no-10-tahun-1949,NO_PDF,
perppu-no-11-tahun-1949,11,1949,--------------------------------------------------------,https://peraturan.go.id/id/perppu-no-11-tahun-1949,NO_PDF,
perppu-no-12-tahun-1949,12,1949,--------------------------------------------------------,https://peraturan.go.id/id/perppu-no-12-tahun-1949,NO_PDF,
perppu-no-13-tahun-1949,13,1949,--------------------------------------------------------,https://peraturan.go.id/id/perppu-no-13-tahun-1949,NO_PDF,
perppu-no-14-tahun-1949,14,1949,--------------------------------------------------------,https://peraturan.go.id/id/perppu-no-14-tahun-1949,NO_PDF,
perppu-no-15-tahun-1949,15,1949,--------------------------------------------------------,https://peraturan.go.id/id/perppu-no-15-tahun-1949,NO_PDF,
perppu-no-16-tahun-1949,16,1949,--------------------------------------------------------,https://peraturan.go.id/id/perppu-no-16-tahun-1949,NO_PDF,
perppu-no-17-tahun-1949,17,1949,--------------------------------------------------------,https://peraturan.go.id/id/perppu-no-17-tahun-1949,NO_PDF,
perppu-no-18-tahun-1949,18,1949,--------------------------------------------------------,https://peraturan.go.id/id/perppu-no-18-tahun-1949,NO_PDF,
perppu-no-19-tahun-1949,19,1949,--------------------------------------------------------,https://peraturan.go.id/id/perppu-no-19-tahun-1949,NO_PDF,
perppu-no-20-tahun-1949,20,1949,--------------------------------------------------------,https://peraturan.go.id/id/perppu-no-20-tahun-1949,NO_PDF,
perppu-no-21-tahun-1949,21,1949,--------------------------------------------------------,https://peraturan.go.id/id/perppu-no-21-tahun-1949,NO_PDF,
perppu-no-22-tahun-1949,22,1949,--------------------------------------------------------,https://peraturan.go.id/id/perppu-no-22-tahun-1949,NO_PDF,
perppu-no-23-tahun-1949,23,1949,--------------------------------------------------------,https://peraturan.go.id/id/perppu-no-23-tahun-1949,NO_PDF,
perppu-no-24-tahun-1949,24,1949,--------------------------------------------------------,https://peraturan.go.id/id/perppu-no-24-tahun-1949,NO_PDF,
perppu-no-25-tahun-1949,25,1949,PENGESAHAN PERATURAN WAKIL PERDANA MENTERI PENGGANTI UNDANG-UNDANG,https://peraturan.go.id/id/perppu-no-25-tahun-1949,NO_PDF,
perppu-no-26-tahun-1949,26,1949,--------------------------------------------------,https://peraturan.go.id/id/perppu-no-26-tahun-1949,NO_PDF,
perppu-no-27-tahun-1949,27,1949,--------------------------------------------------,https://peraturan.go.id/id/perppu-no-27-tahun-1949,NO_PDF,
perppu-no-28-tahun-1949,28,1949,--------------------------------------------------,https://peraturan.go.id/id/perppu-no-28-tahun-1949,NO_PDF,
perppu-no-29-tahun-1949,29,1949,--------------------------------------------------,https://peraturan.go.id/id/perppu-no-29-tahun-1949,NO_PDF,
perppu-no-3-tahun-1949,3,1949,PENGESAHAN PERATURAN WAKIL PERDANA MENTERI PENGGANTI UNDANG-UNDANG,https://peraturan.go.id/id/perppu-no-3-tahun-1949,NO_PDF,
perppu-no-30-tahun-1949,30,1949,PENGESAHAN PERATURAN WAKIL PERDANA MENTERI PENGGANTI UNDANG-UNDANG,https://peraturan.go.id/id/perppu-no-30-tahun-1949,NO_PDF,
perppu-no-31-tahun-1949,31,1949,--------------------------------------------------,https://peraturan.go.id/id/perppu-no-31-tahun-1949,NO_PDF,
perppu-no-32-tahun-1949,32,1949,--------------------------------------------------,https://peraturan.go.id/id/perppu-no-32-tahun-1949,NO_PDF,
perppu-no-33-tahun-1949,33,1949,--------------------------------------------------,https://peraturan.go.id/id/perppu-no-33-tahun-1949,NO_PDF,
perppu-no-34-tahun-1949,34,1949,--------------------------------------------------,https://peraturan.go.id/id/perppu-no-34-tahun-1949,NO_PDF,
perppu-no-35-tahun-1949,35,1949,--------------------------------------------------,https://peraturan.go.id/id/perppu-no-35-tahun-1949,NO_PDF,
perppu-no-4-tahun-1949,4,1949,-----------------------,https://peraturan.go.id/id/perppu-no-4-tahun-1949,NO_PDF,
perppu-no-5-tahun-1949,5,1949,--------------------------------------------------------,https://peraturan.go.id/id/perppu-no-5-tahun-1949,NO_PDF,
perppu-no-6-tahun-1949,6,1949,--------------------------------------------------------,https://peraturan.go.id/id/perppu-no-6-tahun-1949,NO_PDF,
perppu-no-7-tahun-1949,7,1949,--------------------------------------------------------,https://peraturan.go.id/id/perppu-no-7-tahun-1949,NO_PDF,
perppu-no-8-tahun-1949,8,1949,--------------------------------------------------------,https://peraturan.go.id/id/perppu-no-8-tahun-1949,NO_PDF,
perppu-no-9-tahun-1949,9,1949,--------------------------------------------------------,https://peraturan.go.id/id/perppu-no-9-tahun-1949,NO_PDF,
perppu-no-1-tahun-1959,1,1959,PEMBENTUKAN BANK UMUM NEGARA,https://peraturan.go.id/id/perppu-no-1-tahun-1959,https://peraturan.go.id/files/perpu1tahun1959.pdf,
perppu-no-10-tahun-1959,10,1959,PENAMBAHAN BEA BALIK NAMA,https://peraturan.go.id/id/perppu-no-10-tahun-1959,https://peraturan.go.id/files/PERPUNomor10Tahun1959_PERPUNomor10Tahun1959.pdf,
perppu-no-11-tahun-1959,11,1959,PAJAK HASIL BUMI,https://peraturan.go.id/id/perppu-no-11-tahun-1959,https://peraturan.go.id/files/PERPUNomor11Tahun1959_PERPUNomor11Tahun1959.pdf,
perppu-no-12-tahun-1959,12,1959,PAJAK DIVIDEN,https://peraturan.go.id/id/perppu-no-12-tahun-1959,https://peraturan.go.id/files/PERPUNomor12Tahun1959_PERPUNomor12Tahun1959.pdf,
perppu-no-13-tahun-1959,13,1959,PENGUBAHAN DAN TAMBAHAN ORDONANSI PAJAK PERSEROAN 1925 (STAATSBLAD 1925 NO. 319),https://peraturan.go.id/id/perppu-no-13-tahun-1959,https://peraturan.go.id/files/PERPUNomor13Tahun1959_PERPUNomor13Tahun1959.pdf,
perppu-no-14-tahun-1959,14,1959,KENAIKAN CUKAI TEMBAKAU,https://peraturan.go.id/id/perppu-no-14-tahun-1959,https://peraturan.go.id/files/PERPUNomor14Tahun1959_PERPUNomor14Tahun1959.pdf,
perppu-no-15-tahun-1959,15,1959,KENAIKAN TARIF CUKAI ATAS BIR DAN ALKOHOL SULINGAN DAN KENAIKAN BEA-MASUK ATAS BIR,https://peraturan.go.id/id/perppu-no-15-tahun-1959,https://peraturan.go.id/files/PERPUNomor15Tahun1959_PERPUNomor15Tahun1959.pdf,
perppu-no-16-tahun-1959,16,1959,PERUBAHAN DAN TAMBAHAN ORDONANSI PAJAK PENDAPATAN 1944 (STAATSBLAD 1944 NO. 17),https://peraturan.go.id/id/perppu-no-16-tahun-1959,https://peraturan.go.id/files/PERPUNomor16Tahun1959_PERPUNomor16Tahun1959.pdf,
perppu-no-17-tahun-1959,17,1959,PENGUBAHAN DAN TAMBAHAN ORDONANSI PAJAK UPAH (STAATSBLAD 1934 NO. 611),https://peraturan.go.id/id/perppu-no-17-tahun-1959,https://peraturan.go.id/files/PERPUNomor17Tahun1959_PERPUNomor17Tahun1959.pdf,
perppu-no-18-tahun-1959,18,1959,PENGUBAHAN DAN TAMBAHAN ATURAN BEA METERAI 1921,https://peraturan.go.id/id/perppu-no-18-tahun-1959,https://peraturan.go.id/files/PERPUNomor18Tahun1959_PERPUNomor18Tahun1959.pdf,
perppu-no-19-tahun-1959,19,1959,PENGUBAHAN DAN TAMBAHAN ORDONANSI PAJAK RUMAH TANGGA 1908,https://peraturan.go.id/id/perppu-no-19-tahun-1959,https://peraturan.go.id/files/PERPUNomor19Tahun1959_PERPUNomor19Tahun1959.pdf,
perppu-no-2-tahun-1959,2,1959,"PENURUNAN NILAI UANG KERTAS RP. 500,- DAN RP. 1000,-",https://peraturan.go.id/id/perppu-no-2-tahun-1959,https://peraturan.go.id/files/PERPUNomor2Tahun1959_PERPUNomor2Tahun1959.pdf,
perppu-no-20-tahun-1959,20,1959,PENGUBAHAN DAN TAMBAHAN UNDANG-UNDANG PAJAK PENJUALAN 1951,https://peraturan.go.id/id/perppu-no-20-tahun-1959,https://peraturan.go.id/files/PERPUNomor20Tahun1959_PERPUNomor20Tahun1959.pdf,
perppu-no-21-tahun-1959,21,1959,MEMPERBERAT ANCAMAN HUKUMAN TERHADAP TINDAK PIDANA EKONOMI,https://peraturan.go.id/id/perppu-no-21-tahun-1959,NO_PDF,
