slug,translation_url,pdf_url,in_translations_db
-no-1-tahun-2019,https://peraturan.go.id/terjemahresmi/-no-1-tahun-2019,https://peraturan.go.id/files2/-no-1-tahun-2019_terjemah,N
-no-1-tahun-2022,https://peraturan.go.id/terjemahresmi/-no-1-tahun-2022,https://peraturan.go.id/files2/-no-1-tahun-2022_terjemah,N
-no-3-tahun-2015,https://peraturan.go.id/terjemahresmi/-no-3-tahun-2015,https://peraturan.go.id/files2/-no-3-tahun-2015_terjemah,N
peraturan-anri-no-2-tahun-2024,https://peraturan.go.id/terjemahresmi/peraturan-anri-no-2-tahun-2024,https://peraturan.go.id/files2/peraturan-anri-no-2-tahun-2024_terjemah,N
peraturan-bakamla-no-12-tahun-2021,https://peraturan.go.id/terjemahresmi/peraturan-bakamla-no-12-tahun-2021,https://peraturan.go.id/files2/peraturan-bakamla-no-12-tahun-2021_terjemah,N
peraturan-bakamla-no-27-tahun-2021,https://peraturan.go.id/terjemahresmi/peraturan-bakamla-no-27-tahun-2021,https://peraturan.go.id/files2/peraturan-bakamla-no-27-tahun-2021_terjemah,N
peraturan-bakamla-no-28-tahun-2021,https://peraturan.go.id/terjemahresmi/peraturan-bakamla-no-28-tahun-2021,https://peraturan.go.id/files2/peraturan-bakamla-no-28-tahun-2021_terjemah,N
peraturan-bapanas-no-10-tahun-2024,https://peraturan.go.id/terjemahresmi/peraturan-bapanas-no-10-tahun-2024,https://peraturan.go.id/files2/peraturan-bapanas-no-10-tahun-2024_terjemah,N
peraturan-bapanas-no-19-tahun-2023,https://peraturan.go.id/terjemahresmi/peraturan-bapanas-no-19-tahun-2023,https://peraturan.go.id/files2/peraturan-bapanas-no-19-tahun-2023_terjemah,N
peraturan-bawaslu-no-11-tahun-2014,https://peraturan.go.id/terjemahresmi/peraturan-bawaslu-no-11-tahun-2014,https://peraturan.go.id/files2/peraturan-bawaslu-no-11-tahun-2014_terjemah,N
peraturan-bawaslu-no-18-tahun-2017,https://peraturan.go.id/terjemahresmi/peraturan-bawaslu-no-18-tahun-2017,https://peraturan.go.id/files2/peraturan-bawaslu-no-18-tahun-2017_terjemah,N
peraturan-bawaslu-no-2-tahun-2015,https://peraturan.go.id/terjemahresmi/peraturan-bawaslu-no-2-tahun-2015,https://peraturan.go.id/files2/peraturan-bawaslu-no-2-tahun-2015_terjemah,N
peraturan-bawaslu-no-7-tahun-2018,https://peraturan.go.id/terjemahresmi/peraturan-bawaslu-no-7-tahun-2018,https://peraturan.go.id/files2/peraturan-bawaslu-no-7-tahun-2018_terjemah,N
peraturan-bawaslu-no-8-tahun-2018,https://peraturan.go.id/terjemahresmi/peraturan-bawaslu-no-8-tahun-2018,https://peraturan.go.id/files2/peraturan-bawaslu-no-8-tahun-2018_terjemah,N
peraturan-big-no-7-tahun-2023,https://peraturan.go.id/terjemahresmi/peraturan-big-no-7-tahun-2023,https://peraturan.go.id/files2/peraturan-big-no-7-tahun-2023_terjemah,N
peraturan-bkkbn-no-2-tahun-2025,https://peraturan.go.id/terjemahresmi/peraturan-bkkbn-no-2-tahun-2025,https://peraturan.go.id/files2/peraturan-bkkbn-no-2-tahun-2025_terjemah,N
peraturan-bmkg-no-1-tahun-2025,https://peraturan.go.id/terjemahresmi/peraturan-bmkg-no-1-tahun-2025,https://peraturan.go.id/files2/peraturan-bmkg-no-1-tahun-2025_terjemah,N
peraturan-bnpp-no-6-tahun-2024,https://peraturan.go.id/terjemahresmi/peraturan-bnpp-no-6-tahun-2024,https://peraturan.go.id/files2/peraturan-bnpp-no-6-tahun-2024_terjemah,N
