slug,pages,page_count,pdf_url
peraturan-bpip-no-2-tahun-2022,"3,19",2,https://peraturan.go.id/files2/peraturan-bpip-no-2-tahun-2022_terjemah
peraturan-bpjs-ketenagakerjaan-no-1-tahun-2023,"11,26",2,https://peraturan.go.id/files2/peraturan-bpjs-ketenagakerjaan-no-1-tahun-2023_terjemah
peraturan-bpom-no-14-tahun-2021,"7,11",2,https://peraturan.go.id/files2/peraturan-bpom-no-14-tahun-2021_terjemah
peraturan-ori-no-55-tahun-2022,"10,22",2,https://peraturan.go.id/files2/peraturan-ori-no-55-tahun-2022_terjemah
perda-kabupaten-wonosobo-no-10-tahun-2021,"21,23",2,https://peraturan.go.id/files2/perda-kabupaten-wonosobo-no-10-tahun-2021_terjemah
perda-kota-tangerang-no-1-tahun-2023,"2,6",2,https://peraturan.go.id/files2/perda-kota-tangerang-no-1-tahun-2023_terjemah
perda-provinsi-kalimantan-barat-no-8-tahun-2019,"11,18",2,https://peraturan.go.id/files2/perda-provinsi-kalimantan-barat-no-8-tahun-2019_terjemah
perda-provinsi-lampung-no-2-tahun-2024,"4,10",2,https://peraturan.go.id/files2/perda-provinsi-lampung-no-2-tahun-2024_terjemah
permenaker-no-15-tahun-2018,"1,14,26",3,https://peraturan.go.id/files2/permenaker-no-15-tahun-2018_terjemah
permenkominfo-no-7-tahun-2021,"12,15",2,https://peraturan.go.id/files2/permenkominfo-no-7-tahun-2021_terjemah
pp-no-23-tahun-2018,"17,23",2,https://peraturan.go.id/files2/pp-no-23-tahun-2018_terjemah
pp-no-49-tahun-2023,"14,16,18",3,https://peraturan.go.id/files2/pp-no-49-tahun-2023_terjemah
uu-no-39-tahun-1999,"21,27",2,https://peraturan.go.id/files2/uu-no-39-tahun-1999_terjemah
